,bbl,date,file path,st units
15919,2032610092,20210605,20210605_2032610092.pdf,97
15920,2032610098,20210605,20210605_2032610098.pdf,9
15921,2032610118,20210605,20210605_2032610118.pdf,12
15922,2032610124,20210605,20210605_2032610124.pdf,37
15923,2032610130,20210605,20210605_2032610130.pdf,9
15924,2032620077,20210605,20210605_2032620077.pdf,124
15925,2032620088,20210605,20210605_2032620088.pdf,52
15926,2032620097,20210605,20210605_2032620097.pdf,43
15927,2032620106,20210605,20210605_2032620106.pdf,27
15928,2032630001,20210605,20210605_2032630001.pdf,64
15929,2032630007,20210605,20210605_2032630007.pdf,56
15930,2032630025,20210605,20210605_2032630025.pdf,56
15931,2032630031,20210605,20210605_2032630031.pdf,SCRIE
15932,2032630050,20210605,20210605_2032630050.pdf,35
15933,2032630058,20210605,20210605_2032630058.pdf,45
15934,2032630067,20210605,20210605_2032630067.pdf,SCRIE
15935,2032630085,20210605,20210605_2032630085.pdf,SCRIE
15936,2032630098,20210605,20210605_2032630098.pdf,90
15937,2032630104,20210605,20210605_2032630104.pdf,41
15938,2032630145,20210605,20210605_2032630145.pdf,SCRIE
15939,2032630172,20210605,20210605_2032630172.pdf,57
15940,2032630185,20210605,20210605_2032630185.pdf,101
15941,2032630225,20210605,20210605_2032630225.pdf,4
15942,2032630235,20210605,20210605_2032630235.pdf,SCRIE
15943,2032630284,20210605,20210605_2032630284.pdf,60
15944,2032630292,20210605,20210605_2032630292.pdf,71
15945,2032660090,20210605,20210605_2032660090.pdf,36
15946,2032660095,20210605,20210605_2032660095.pdf,20
15947,2032660097,20210605,20210605_2032660097.pdf,16
15948,2032660099,20210605,20210605_2032660099.pdf,21
15949,2032660109,20210605,20210605_2032660109.pdf,17
15950,2032660127,20210605,20210605_2032660127.pdf,20
15951,2032660129,20210605,20210605_2032660129.pdf,11
15952,2032660130,20210605,20210605_2032660130.pdf,SCRIE
15953,2032670001,20210605,20210605_2032670001.pdf,14
15954,2032670011,20210605,20210605_2032670011.pdf,23
15955,2032670020,20210605,20210605_2032670020.pdf,59
15956,2032670056,20210605,20210605_2032670056.pdf,4
15957,2032670060,20210605,20210605_2032670060.pdf,6
15958,2032700046,20210605,20210605_2032700046.pdf,27
15959,2032700049,20210605,20210605_2032700049.pdf,SCRIE
15960,2032700113,20210605,20210605_2032700113.pdf,11
15961,2032710002,20210605,20210605_2032710002.pdf,65
15962,2032710034,20210605,20210605_2032710034.pdf,8
15963,2032710036,20210605,20210605_2032710036.pdf,8
15964,2032710101,20210605,20210605_2032710101.pdf,44
15965,2032710125,20210605,20210605_2032710125.pdf,89
15966,2032710128,20210605,20210605_2032710128.pdf,55
15967,2032710132,20210605,20210605_2032710132.pdf,SCRIE
15968,2032710185,20210605,20210605_2032710185.pdf,24
15969,2032710191,20210605,20210605_2032710191.pdf,24
15970,2032710210,20210605,20210605_2032710210.pdf,8
15971,2032710227,20210605,20210605_2032710227.pdf,25
15972,2032720002,20210605,20210605_2032720002.pdf,119
15973,2032730254,20210605,20210605_2032730254.pdf,18
15974,2032730256,20210605,20210605_2032730256.pdf,18
15975,2032730287,20210605,20210605_2032730287.pdf,15
15976,2032730310,20210605,20210605_2032730310.pdf,13
15977,2032730311,20210605,20210605_2032730311.pdf,15
15978,2032740021,20210605,20210605_2032740021.pdf,97
15979,2032740027,20210605,20210605_2032740027.pdf,91
15980,2032750011,20210605,20210605_2032750011.pdf,SCRIE
15981,2032750046,20210605,20210605_2032750046.pdf,22
15982,2032750048,20210605,20210605_2032750048.pdf,14
15983,2032750049,20210605,20210605_2032750049.pdf,14
15984,2032750050,20210605,20210605_2032750050.pdf,14
15985,2032750051,20210605,20210605_2032750051.pdf,14
15986,2032750055,20210605,20210605_2032750055.pdf,16
15987,2032750108,20210605,20210605_2032750108.pdf,32
15988,2032760004,20210605,20210605_2032760004.pdf,11
15989,2032760005,20210605,20210605_2032760005.pdf,82
15990,2032760020,20210605,20210605_2032760020.pdf,60
15991,2032760036,20210605,20210605_2032760036.pdf,11
15992,2032760038,20210605,20210605_2032760038.pdf,11
15993,2032760039,20210605,20210605_2032760039.pdf,9
15994,2032760040,20210605,20210605_2032760040.pdf,11
15995,2032760042,20210605,20210605_2032760042.pdf,41
15996,2032770001,20210605,20210605_2032770001.pdf,16
15997,2032770014,20210605,20210605_2032770014.pdf,21
15998,2032770020,20210605,20210605_2032770020.pdf,18
15999,2032780001,20210605,20210605_2032780001.pdf,24
16000,2032780003,20210605,20210605_2032780003.pdf,27
